order_id,store_id,channel_id,payment_order_id,delivery_order_id,order_status,order_amount,order_delivery_fee,order_delivery_cost,order_created_hour,order_created_minute,order_created_day,order_created_month,order_created_year,order_moment_created,order_moment_accepted,order_moment_ready,order_moment_collected,order_moment_in_expedition,order_moment_delivering,order_moment_delivered,order_moment_finished,order_metric_collected_time,order_metric_paused_time,order_metric_production_time,order_metric_walking_time,order_metric_expediton_speed_time,order_metric_transit_time,order_metric_cycle_time
68405119,3512,5,68405119,68405119,CANCELED,62.7,0,,0,1,1,1,2021,1/1/2021 12:01:36 AM,,,,,,,,,,,,,,
68405123,3512,5,68405123,68405123,CANCELED,62.7,0,,0,4,1,1,2021,1/1/2021 12:04:26 AM,,,,,,,,,,,,,,
68405206,3512,5,68405206,68405206,CANCELED,115.5,0,,0,13,1,1,2021,1/1/2021 12:13:07 AM,,,,,,,,,,,,,,
68405465,3401,5,68405465,68405465,CANCELED,55.9,0,,0,19,1,1,2021,1/1/2021 12:19:15 AM,,,,,,,,,,,,,,
68406064,3401,5,68406064,68406064,CANCELED,37.9,0,,0,26,1,1,2021,1/1/2021 12:26:25 AM,,,,,,,,,,,,,,
68408108,786,5,68408108,68408108,CANCELED,80,9.9,,0,56,1,1,2021,1/1/2021 12:56:19 AM,,,,,,,,,,,,,,
68408109,1125,5,68408109,68408109,CANCELED,71,9.9,,0,56,1,1,2021,1/1/2021 12:56:49 AM,,,,,,,,,,,,,,
68409030,1064,35,68409030,68409030,CANCELED,214.8,0.01,0,1,56,1,1,2021,1/1/2021 1:56:42 AM,1/1/2021 1:57:00 AM,,,,,,,,,,,,,
68410055,2181,35,68410055,68410055,FINISHED,394.8,0.01,6,2,32,1,1,2021,1/1/2021 2:32:51 AM,1/1/2021 2:33:00 AM,1/2/2021 6:24:06 PM,1/2/2021 6:30:44 PM,1/2/2021 6:31:15 PM,1/2/2021 6:35:49 PM,,1/2/2021 6:57:34 PM,6.63,4.55,2391.25,7.17,11.72,21.75,2424.72
68412121,1152,5,68412121,68412121,CANCELED,25.5,9.9,,13,57,1,1,2021,1/1/2021 1:57:21 PM,,,,,,,,,,,,,,
68412122,490,5,68412122,68412122,CANCELED,30,5.9,,13,57,1,1,2021,1/1/2021 1:57:21 PM,,,,,,,,,,,,,,
68412123,674,5,68412123,68412123,CANCELED,74.5,5.9,,13,57,1,1,2021,1/1/2021 1:57:31 PM,,,,,,,,,,,,,,
68412131,490,5,68412131,68412131,CANCELED,48,7.9,,13,58,1,1,2021,1/1/2021 1:58:01 PM,,,,,,,,,,,,,,
68412134,679,5,68412134,68412134,CANCELED,34.9,9.9,,13,58,1,1,2021,1/1/2021 1:58:32 PM,,,,,,,,,,,,,,
68412148,294,5,68412148,68412148,CANCELED,34,6.9,,14,2,1,1,2021,1/1/2021 2:02:01 PM,,,,,,,,,,,,,,
68412322,294,5,68412322,68412322,CANCELED,39.3,9.9,,14,6,1,1,2021,1/1/2021 2:06:31 PM,,,,,,,,,,,,,,
68412444,294,5,68412444,68412444,CANCELED,41.5,9.9,,14,8,1,1,2021,1/1/2021 2:08:11 PM,,,,,,,,,,,,,,
68412721,631,5,68412721,68412721,FINISHED,195.05,11.9,10.93,14,12,1,1,2021,1/1/2021 2:12:11 PM,1/1/2021 2:12:17 PM,1/1/2021 2:38:15 PM,1/1/2021 2:38:31 PM,1/1/2021 2:39:05 PM,1/1/2021 2:49:18 PM,,1/1/2021 4:12:36 PM,0.27,10.22,26.07,0.83,11.05,83.3,120.42
68413340,631,5,68413340,68413340,FINISHED,46.9,11.9,11.36,14,14,1,1,2021,1/1/2021 2:14:51 PM,1/1/2021 2:15:20 PM,1/1/2021 2:29:28 PM,1/1/2021 2:36:30 PM,1/1/2021 2:39:02 PM,1/1/2021 2:42:08 PM,,1/1/2021 3:31:54 PM,7.03,3.1,14.62,9.57,12.67,49.78,77.05
68414018,3265,5,68414018,68414018,FINISHED,45.8,0,10.28,14,17,1,1,2021,1/1/2021 2:17:31 PM,1/1/2021 2:20:59 PM,1/1/2021 2:45:01 PM,1/1/2021 2:55:14 PM,1/1/2021 2:55:16 PM,1/1/2021 2:58:17 PM,,1/1/2021 3:09:20 PM,10.22,3.03,27.48,10.25,13.28,11.05,51.82
